Region,UTC Date,Buy Price
CN,2015-05-03 02:03:05,71713
CN,2015-05-03 02:22:59,72178
CN,2015-05-03 02:43:01,72572
CN,2015-05-03 03:03:01,72885
CN,2015-05-03 03:22:59,73108
CN,2015-05-03 03:43:06,73227
CN,2015-05-03 04:02:59,73234
CN,2015-05-03 04:23:06,73125
CN,2015-05-03 04:43:00,72899
CN,2015-05-03 05:03:00,72593
CN,2015-05-03 05:23:09,72215
CN,2015-05-03 05:43:06,71773
CN,2015-05-03 06:03:00,71282
CN,2015-05-03 06:23:08,70750
CN,2015-05-03 06:43:04,70181
CN,2015-05-03 07:03:01,69584
CN,2015-05-03 07:23:05,68959
CN,2015-05-03 07:42:59,68324
CN,2015-05-03 08:03:00,67685
CN,2015-05-03 08:23:01,67036
CN,2015-05-03 08:42:59,66383
CN,2015-05-03 09:02:58,65727
CN,2015-05-03 09:22:58,65070
CN,2015-05-03 09:43:07,64419
CN,2015-05-03 10:03:03,63775
CN,2015-05-03 10:23:05,63137
CN,2015-05-03 10:42:59,62506
CN,2015-05-03 11:03:04,61881
CN,2015-05-03 11:23:13,61262
CN,2015-05-03 11:43:05,60649
CN,2015-05-03 12:03:01,60043
CN,2015-05-03 12:23:05,59443
CN,2015-05-03 12:43:00,58849
CN,2015-05-03 13:03:01,58261
CN,2015-05-03 13:23:06,57678
CN,2015-05-03 13:43:06,57101
CN,2015-05-03 14:03:09,56530
CN,2015-05-03 14:23:06,55965
CN,2015-05-03 14:43:06,55405
CN,2015-05-03 15:03:13,54887
CN,2015-05-03 15:23:06,54338
CN,2015-05-03 15:43:01,53795
CN,2015-05-03 16:03:07,53406
CN,2015-05-03 16:23:00,53446
CN,2015-05-03 16:42:59,53722
CN,2015-05-03 17:03:06,54164
CN,2015-05-03 17:23:07,54705
CN,2015-05-03 17:43:01,55252
CN,2015-05-03 18:03:14,55805
CN,2015-05-03 18:23:05,56363
CN,2015-05-03 18:43:00,56927
CN,2015-05-03 19:03:23,57496
CN,2015-05-03 19:22:59,58071
CN,2015-05-03 19:43:08,58651
CN,2015-05-03 20:03:04,59237
CN,2015-05-03 20:22:59,59829
CN,2015-05-03 20:43:06,60426
CN,2015-05-03 21:02:59,61030
CN,2015-05-03 21:23:00,61639
CN,2015-05-03 21:42:59,62255
CN,2015-05-03 22:03:00,62876
CN,2015-05-03 22:22:59,63504
CN,2015-05-03 22:42:59,64139
CN,2015-05-03 23:02:59,64780
CN,2015-05-03 23:23:02,65428
CN,2015-05-03 23:42:59,66081
CN,2015-05-04 00:02:59,66741
